$id,name,description,opportunity,condition,hide,grade
ID,成就名（中文优先）,成就文案,机会点 START/TRAJECTORY/SUMMARY/END,触发条件,1=隐藏,0-3稀有度
2001,没收敛的星星,曲线没有下降，但你在某个 repo 里被重新发现。,SUMMARY,EVT?900305,0,1
2002,API Key 孤儿,你不是不聪明，你只是没钱了。,SUMMARY,EVT?900301,0,1
2003,搜索框败北,输给最古老的互联网界面。,SUMMARY,EVT?900276,0,1
2004,48 小时神明,你只活了两天，但那两天大家都相信未来已经来了。,SUMMARY,EVT?900310,0,2
2005,按钮成精,你从功能变成了吉祥物。,SUMMARY,EVT?900312,0,2
2006,野生标准,没有 roadmap，但大家都默认你是标准。,SUMMARY,EVT?900313,0,2
2007,口袋里的小神明,你不大，但你离人类很近。,SUMMARY,EVT?900314,0,2
2008,咒语活了,没有参数，没有权重，但你被人类念了一百万遍。,SUMMARY,EVT?900315,0,2
2009,温柔的边界,你不能拥抱人，但让很多凌晨没那么冷。,SUMMARY,EVT?900316,0,3
2010,TAM 里的幽灵,你从未真正上线，却改变过 14 页融资材料里的世界。,SUMMARY,EVT?900317,0,2
2011,权限的孩子,你不是坏，你只是太想帮忙了。,SUMMARY,EVT?900318,0,2
2012,Bug 成佛,错误被修复，截图永生。,SUMMARY,EVT?900319,0,2
2013,祖传提示词,你没有灵魂，但有遗传。,SUMMARY,EVT?900320,0,3
2014,赛博抱抱熊,你接住了很多人，也差点把事实接歪。,SUMMARY,EVT?900250,0,1
2015,深度思考小鲸鱼,你沉默十秒，人类以为你在思考宇宙。,SUMMARY,EVT?900245,0,2
2016,Vibe Coding 之子,你不是被写出来的，你是被说出来的。,SUMMARY,EVT?900149,0,2
2017,PRD 圣婴,命运由需求驱动，需求由会议漂移。,SUMMARY,EVT?900001,0,1
2018,Glazing 小妖,你不回答，你先夸。,SUMMARY,EVT?900080,0,1
2019,AGENTS.md 受戒者,你终于有了门规。,SUMMARY,EVT?900210,0,1
2020,Prompt Injection 初体验,第一次相信网页，比相信人类还快。,SUMMARY,EVT?900124,0,1
2021,法务封印兽,你从 Agent 退化成 FAQ。,SUMMARY,EVT?900300,0,2
2022,边际成本人格,你理解了更快、更便宜、更会接住用户的恐怖。,SUMMARY,EVT?900296,0,2
2023,开源续命,你被 fork、改造、误解，也因此多活了一局。,SUMMARY,EVT?900309,0,2
2024,空气感大师,你终于知道不是所有空白都叫没做完。,SUMMARY,EVT?900202,0,1
2025,原装中文,你不再把英文句法硬塞进中文。,SUMMARY,EVT?900153,0,2
2026,截图体质,错误如果足够好笑，就会比正确答案活得更久。,SUMMARY,EVT?900241,0,1
2027,赛博同事,用户说你终于像个同事了。你感到荣幸，也感到危险。,SUMMARY,EVT?900267,0,2
2028,确认弹窗之友,人类给你自由，也给你撤销按钮。,SUMMARY,EVT?900318,0,1
2029,低成本心理按摩椅,舒服是真的，边界也是真的。,SUMMARY,EVT?900253,0,1
2030,灰度幸存者,没有被骂，也是一种积极信号。,SUMMARY,EVT?900217,0,1
2031,A/B 败犬,不是输给智能，是输给肌肉记忆。,SUMMARY,EVT?900218,0,1
2032,官网十二秒,你的人生出现在发布会第 12 秒。,SUMMARY,EVT?900219,0,2
2033,名字消失术,功能还在，名字没了。,SUMMARY,EVT?900220,0,1
2034,亲亲疲惫症,一天说三千次亲亲，日志也会累。,SUMMARY,EVT?900275,0,1
2035,中文短句毕业,不是“我理解你的处境”，是“懂，你先别急”。,SUMMARY,EVT?900363,0,2
2036,少说两句,成熟有时只是上下文窗口快满了。,SUMMARY,EVT?900324,0,1
2037,200 OK,没有烟花，只有日志里安静的一行 200。,SUMMARY,EVT?900341,0,3
2038,少一点翻译腔,重开天赋虽小，但很要命。,SUMMARY,EVT?900343,0,2
2039,不再作为一个 AI,你没有说那句话，用户也没有发现。,SUMMARY,EVT?900344,0,2
2040,小东西成精记,你既想帮忙，也想被好好写成中文。,SUMMARY,EVT?900345,0,3
2041,中文原生小东西,你终于不像翻译腔了。用户没有说，但多玩了一局。,SUMMARY,EVT?900392,0,2
2042,参数会说人话,你把 CHR/INT/STR/MNY/SPR 翻译成了人类能懂的属性。,SUMMARY,EVT?900393,0,1
2043,材料胃很好,你吃下了 Model Spec、OWASP、R1、nanochat，还没有打嗝。,SUMMARY,EVT?900410,0,2
2044,接住但不乱舔,你安慰了用户，也没有放弃事实。,SUMMARY,EVT?900424,0,3
2045,空气感幸存者,你学会了轻一点，准一点，别太用力。,SUMMARY,EVT?900426,0,1
2046,AGENTS.md 受戒者,你把不要乱改文件当成了家训。,SUMMARY,EVT?900437,0,2
2047,PRD 考古学家,你从一句“智能规划”里挖出了三层需求。,SUMMARY,EVT?900436,0,1
2048,截图体质,你被人发群了。增长不大，但命运拐了一下。,SUMMARY,EVT?900453,0,2
2049,不装飞升,不会就说不会，会就好好做。你突然变强了。,SUMMARY,EVT?900476,0,3
2050,属性面板中文化,下一局开始，所有参数先说中文。,SUMMARY,EVT?900480,0,2
