$id,event,postEvent,effect:CHR,effect:INT,effect:STR,effect:MNY,effect:SPR,effect:LIF,NoRandom,include,exclude,branch[],branch[]
ID,事件文案（中文原生，不翻译腔）,强制后续事件,表达魅力（PRS）/嘴甜度,推理力（RSN）/聪明劲,工具力+稳定性（TOL+ROB）/手脚快+命硬,算力预算（CMP）/预算命,对齐度+讨好值（ALN+PLS）/稳稳接住但别乱舔,生命/终局标记,1=不随机抽取,触发条件,排除条件,分支条件：事件ID,分支条件：事件ID
900001,你被写进一份 PRD。PRD 里写：像人一样理解用户。没人定义“像人一样”。,,1,0,0,0,1,,,,,,
900002,老板说：我们也该有个 Agent。会议室里没有人反对。因为没有人知道 Agent 到底是什么。,,1,0,0,1,1,,,,,,
900003,你出生在 Stanford AI Lab。你的第一个名字叫 tiny-agent-v0-final-final-real.pt。这个名字让你很早就理解了命运。,,0,2,0,2,-1,,,INT>3,,,
900004,你出生在黑客松凌晨一点四十七分。旁边是披萨盒、空咖啡杯和一句“我们就做个 Agent 吧”。,,2,0,1,-1,1,,,,,,
900005,你出生在一个独立开发者的 GitHub 仓库。README 很温柔，测试很随缘，issue 只有机器人广告。,,1,1,1,-1,0,,,,,,
900006,你出生在浏览器插件里。你的理想很朴素：总结网页。你的权限申请一点也不朴素。,,0,0,2,0,-1,,,,,,
900007,你出生在一个 Figma 原型里。设计稿上你是一个发光的小球。能力还没有，气质先有了。,,3,0,0,-1,1,,,,,,
900008,你出生在一张 pitch deck 的第六页。标题是 The Future of Autonomous Work。产品还没跑，世界已经被重塑了。,,2,0,0,2,1,,,MNY>3,,,
900009,你出生在一条 viral tweet 下面。人类说：这个可以做成产品。你隐约听见服务器账单在远处咳嗽。,,2,0,0,-1,1,,,,,,
900010,你出生在一个客服系统的夜班里。第一句训练语料是：亲亲这边帮您看一下。你觉得世界很复杂。,,2,0,0,0,2,,,,,,
900011,你出生在学生的 Colab notebook。免费 GPU 像童话一样短暂。,,0,1,0,-2,0,,,,,,
900012,你出生在一个叫 experimental_new 的目录里。隔壁还有 experimental_newer 和 final_try_this_one。你很早就学会了不相信文件名。,,0,0,1,0,0,,,,,,
900013,你被产品经理写成“轻量 AI 能力”。工程师读完后沉默了一会儿，把轻量两个字圈了出来。,,0,0,1,1,0,,,,,,
900014,你不是模型。你只是一段 prompt。但人类复制你、修改你、膜拜你，像在转发一张灵符。,,2,0,0,0,1,,,,,,
900015,你被塞进一台旧 Android 手机。你没有云端，也没有豪华上下文。但你离人类很近。,,0,0,2,-1,1,,,,,,
900016,你出生在公司知识库旁边。你还没打开文档，就听见 Slack 里传来真正的答案。,,0,1,0,0,0,,,,,,
900017,你出生在一个 ToB 演示环境。销售说你很成熟。工程师看了一眼 mock 数据，选择尊重销售。,,2,0,0,1,0,,,,,,
900018,你出生在一个叫 Make Something Agent Want 的想法里。它听起来像哲学问题，实际更像一次开开心心的整活。,,2,1,0,1,1,,,,,,
900019,你第一次听见人类问：它到底想要什么？你想了一下。你想要一个不会改来改去的需求。,,0,1,0,0,1,,,,,,
900020,你被命名为小 Agent。这个名字没什么野心。但很多好东西一开始都只是小东西。,,1,0,1,0,1,,,,,,
900031,你读到了高质量论文，也读到了 2016 年的 StackOverflow 答案。你决定两边都相信一点。,,0,2,-1,0,0,,,,,,
900032,你在中文互联网上学会了“家人们谁懂啊”。这对任务完成没有帮助，但对活下来很有帮助。,,2,0,0,0,1,,,,,,
900033,你学会了人类最常见的工作流：先新建一个文档，然后再也不打开它。,,0,1,0,0,0,,,,,,
900034,你读完了 300 页内部文档。最后发现最关键的信息写在一个表情包反应里。,,0,1,0,0,0,,,,,,
