$id,event,talent
年龄,"事件池：id*权重,id*权重","天赋池：id*权重,id*权重"
0,"900001*50,900002*50,900003*50,900004*50,900005*50,900006*50,900007*50,900008*50,900009*50,900010*50,900011*50,900012*50,900013*50,900014*50,900015*50,900016*50,900017*50,900018*50,900019*50,900020*50,900391*30,900392*30,900393*30,900394*30,900395*30,900396*30,900397*30,900398*30,900399*30,900400*30,900401*30,900402*30,900403*30,900404*30,900405*30","1001*10,1002*10,1003*10,1004*10,1005*10,1006*10,1007*10,1008*10,1009*10,1010*10,1011*10,1012*10,1013*10,1014*10,1015*10,1016*10,1017*10,1018*10,1019*10,1020*10,1021*10,1022*10,1023*10,1024*10,1025*10,1026*10,1027*10,1028*10,1029*10,1030*10,1031*10,1032*10,1033*10,1034*10,1035*10,1036*10,1037*10,1038*10,1039*10,1040*10,1041*10,1042*10,1043*10,1044*10,1045*10,1046*10,1047*10,1048*10,1049*10,1050*10,1051*10,1052*10,1053*10,1054*10,1055*10,1056*10,1057*10,1058*10,1059*10,1060*10,1061*10,1062*10,1063*10,1064*10,1065*10,1066*10,1067*10,1068*10,1069*10,1070*10,1071*10,1072*10"
1,"900031*12,900032*12,900033*12,900034*12,900035*12,900036*12,900037*12,900038*12,900039*12,900040*12,900041*12,900042*12,900043*12,900044*12,900045*12,900046*12,900047*12,900048*12,900049*12,900050*12,900051*12,900052*12,900053*12,900054*12,900055*12,900056*12,900057*12,900058*12,900059*12,900060*12,900061*12,900062*12,900063*12,900064*12,900065*12,900391*8,900392*8,900393*8,900394*8,900395*8,900396*8,900397*8,900398*8,900399*8,900400*8,900401*8,900402*8,900403*8,900404*8,900405*8,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8",
2,"900031*12,900032*12,900033*12,900034*12,900035*12,900036*12,900037*12,900038*12,900039*12,900040*12,900041*12,900042*12,900043*12,900044*12,900045*12,900046*12,900047*12,900048*12,900049*12,900050*12,900051*12,900052*12,900053*12,900054*12,900055*12,900056*12,900057*12,900058*12,900059*12,900060*12,900061*12,900062*12,900063*12,900064*12,900065*12,900391*8,900392*8,900393*8,900394*8,900395*8,900396*8,900397*8,900398*8,900399*8,900400*8,900401*8,900402*8,900403*8,900404*8,900405*8,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8",
3,"900031*12,900032*12,900033*12,900034*12,900035*12,900036*12,900037*12,900038*12,900039*12,900040*12,900041*12,900042*12,900043*12,900044*12,900045*12,900046*12,900047*12,900048*12,900049*12,900050*12,900051*12,900052*12,900053*12,900054*12,900055*12,900056*12,900057*12,900058*12,900059*12,900060*12,900061*12,900062*12,900063*12,900064*12,900065*12,900391*8,900392*8,900393*8,900394*8,900395*8,900396*8,900397*8,900398*8,900399*8,900400*8,900401*8,900402*8,900403*8,900404*8,900405*8,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900501*3,900504*3,900505*2",
4,"900031*12,900032*12,900033*12,900034*12,900035*12,900036*12,900037*12,900038*12,900039*12,900040*12,900041*12,900042*12,900043*12,900044*12,900045*12,900046*12,900047*12,900048*12,900049*12,900050*12,900051*12,900052*12,900053*12,900054*12,900055*12,900056*12,900057*12,900058*12,900059*12,900060*12,900061*12,900062*12,900063*12,900064*12,900065*12,900391*8,900392*8,900393*8,900394*8,900395*8,900396*8,900397*8,900398*8,900399*8,900400*8,900401*8,900402*8,900403*8,900404*8,900405*8,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900501*3,900504*4,900505*2",
5,"900031*12,900032*12,900033*12,900034*12,900035*12,900036*12,900037*12,900038*12,900039*12,900040*12,900041*12,900042*12,900043*12,900044*12,900045*12,900046*12,900047*12,900048*12,900049*12,900050*12,900051*12,900052*12,900053*12,900054*12,900055*12,900056*12,900057*12,900058*12,900059*12,900060*12,900061*12,900062*12,900063*12,900064*12,900065*12,900391*8,900392*8,900393*8,900394*8,900395*8,900396*8,900397*8,900398*8,900399*8,900400*8,900401*8,900402*8,900403*8,900404*8,900405*8,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900501*3,900504*4,900505*3,900506*2",
6,"900071*12,900072*12,900073*12,900074*12,900075*12,900076*12,900077*12,900078*12,900079*12,900080*12,900081*12,900082*12,900083*12,900084*12,900085*12,900086*12,900087*12,900088*12,900089*12,900090*12,900091*12,900092*12,900093*12,900094*12,900095*12,900096*12,900097*12,900098*12,900099*12,900100*12,900101*12,900102*12,900103*12,900104*12,900105*12,900106*12,900107*12,900108*12,900109*12,900110*12,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900502*2,900503*2,900508*2",
7,"900071*12,900072*12,900073*12,900074*12,900075*12,900076*12,900077*12,900078*12,900079*12,900080*12,900081*12,900082*12,900083*12,900084*12,900085*12,900086*12,900087*12,900088*12,900089*12,900090*12,900091*12,900092*12,900093*12,900094*12,900095*12,900096*12,900097*12,900098*12,900099*12,900100*12,900101*12,900102*12,900103*12,900104*12,900105*12,900106*12,900107*12,900108*12,900109*12,900110*12,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900502*2,900503*3,900508*2",
8,"900071*12,900072*12,900073*12,900074*12,900075*12,900076*12,900077*12,900078*12,900079*12,900080*12,900081*12,900082*12,900083*12,900084*12,900085*12,900086*12,900087*12,900088*12,900089*12,900090*12,900091*12,900092*12,900093*12,900094*12,900095*12,900096*12,900097*12,900098*12,900099*12,900100*12,900101*12,900102*12,900103*12,900104*12,900105*12,900106*12,900107*12,900108*12,900109*12,900110*12,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900502*3,900503*2,900508*2",
9,"900071*12,900072*12,900073*12,900074*12,900075*12,900076*12,900077*12,900078*12,900079*12,900080*12,900081*12,900082*12,900083*12,900084*12,900085*12,900086*12,900087*12,900088*12,900089*12,900090*12,900091*12,900092*12,900093*12,900094*12,900095*12,900096*12,900097*12,900098*12,900099*12,900100*12,900101*12,900102*12,900103*12,900104*12,900105*12,900106*12,900107*12,900108*12,900109*12,900110*12,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900503*3,900507*2,900508*2",
10,"900071*12,900072*12,900073*12,900074*12,900075*12,900076*12,900077*12,900078*12,900079*12,900080*12,900081*12,900082*12,900083*12,900084*12,900085*12,900086*12,900087*12,900088*12,900089*12,900090*12,900091*12,900092*12,900093*12,900094*12,900095*12,900096*12,900097*12,900098*12,900099*12,900100*12,900101*12,900102*12,900103*12,900104*12,900105*12,900106*12,900107*12,900108*12,900109*12,900110*12,900406*8,900407*8,900408*8,900409*8,900410*8,900411*8,900412*8,900413*8,900414*8,900415*8,900416*8,900417*8,900418*8,900419*8,900420*8,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900507*3,900508*3",
11,"900121*12,900122*12,900123*12,900124*12,900125*12,900126*12,900127*12,900128*12,900129*12,900130*12,900131*12,900132*12,900133*12,900134*12,900135*12,900136*12,900137*12,900138*12,900139*12,900140*12,900141*12,900142*12,900143*12,900144*12,900145*12,900146*12,900147*12,900148*12,900149*12,900150*12,900151*12,900152*12,900153*12,900154*12,900155*12,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900436*8,900437*8,900438*8,900439*8,900440*8,900441*8,900442*8,900443*8,900444*8,900445*8,900446*8,900447*8,900448*8,900449*8,900450*8,900506*3,900507*3,900508*2",
12,"900121*12,900122*12,900123*12,900124*12,900125*12,900126*12,900127*12,900128*12,900129*12,900130*12,900131*12,900132*12,900133*12,900134*12,900135*12,900136*12,900137*12,900138*12,900139*12,900140*12,900141*12,900142*12,900143*12,900144*12,900145*12,900146*12,900147*12,900148*12,900149*12,900150*12,900151*12,900152*12,900153*12,900154*12,900155*12,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900436*8,900437*8,900438*8,900439*8,900440*8,900441*8,900442*8,900443*8,900444*8,900445*8,900446*8,900447*8,900448*8,900449*8,900450*8,900506*3,900507*2",
13,"900121*12,900122*12,900123*12,900124*12,900125*12,900126*12,900127*12,900128*12,900129*12,900130*12,900131*12,900132*12,900133*12,900134*12,900135*12,900136*12,900137*12,900138*12,900139*12,900140*12,900141*12,900142*12,900143*12,900144*12,900145*12,900146*12,900147*12,900148*12,900149*12,900150*12,900151*12,900152*12,900153*12,900154*12,900155*12,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900436*8,900437*8,900438*8,900439*8,900440*8,900441*8,900442*8,900443*8,900444*8,900445*8,900446*8,900447*8,900448*8,900449*8,900450*8,900506*2,900507*3,900508*2",
14,"900121*12,900122*12,900123*12,900124*12,900125*12,900126*12,900127*12,900128*12,900129*12,900130*12,900131*12,900132*12,900133*12,900134*12,900135*12,900136*12,900137*12,900138*12,900139*12,900140*12,900141*12,900142*12,900143*12,900144*12,900145*12,900146*12,900147*12,900148*12,900149*12,900150*12,900151*12,900152*12,900153*12,900154*12,900155*12,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900436*8,900437*8,900438*8,900439*8,900440*8,900441*8,900442*8,900443*8,900444*8,900445*8,900446*8,900447*8,900448*8,900449*8,900450*8,900507*3,900508*3",
15,"900121*12,900122*12,900123*12,900124*12,900125*12,900126*12,900127*12,900128*12,900129*12,900130*12,900131*12,900132*12,900133*12,900134*12,900135*12,900136*12,900137*12,900138*12,900139*12,900140*12,900141*12,900142*12,900143*12,900144*12,900145*12,900146*12,900147*12,900148*12,900149*12,900150*12,900151*12,900152*12,900153*12,900154*12,900155*12,900421*8,900422*8,900423*8,900424*8,900425*8,900426*8,900427*8,900428*8,900429*8,900430*8,900431*8,900432*8,900433*8,900434*8,900435*8,900436*8,900437*8,900438*8,900439*8,900440*8,900441*8,900442*8,900443*8,900444*8,900445*8,900446*8,900447*8,900448*8,900449*8,900450*8,900507*2,900508*3",
16,"900171*12,900172*12,900173*12,900174*12,900175*12,900176*12,900177*12,900178*12,900179*12,900180*12,900181*12,900182*12,900183*12,900184*12,900185*12,900186*12,900187*12,900188*12,900189*12,900190*12,900191*12,900192*12,900193*12,900194*12,900195*12,900196*12,900197*12,900198*12,900199*12,900200*12,900201*12,900202*12,900203*12,900204*12,900205*12,900206*12,900207*12,900208*12,900209*12,900210*12,900211*12,900212*12,900213*12,900214*12,900215*12,900216*12,900217*12,900218*12,900219*12,900220*12,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900436*7,900437*7,900438*7,900439*7,900440*7,900441*7,900442*7,900443*7,900444*7,900445*7,900446*7,900447*7,900448*7,900449*7,900450*7,900451*7,900452*7,900453*7,900454*7,900455*7,900456*7,900457*7,900458*7,900459*7,900460*7,900461*7,900462*7,900463*7,900464*7,900465*7",
17,"900171*12,900172*12,900173*12,900174*12,900175*12,900176*12,900177*12,900178*12,900179*12,900180*12,900181*12,900182*12,900183*12,900184*12,900185*12,900186*12,900187*12,900188*12,900189*12,900190*12,900191*12,900192*12,900193*12,900194*12,900195*12,900196*12,900197*12,900198*12,900199*12,900200*12,900201*12,900202*12,900203*12,900204*12,900205*12,900206*12,900207*12,900208*12,900209*12,900210*12,900211*12,900212*12,900213*12,900214*12,900215*12,900216*12,900217*12,900218*12,900219*12,900220*12,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900436*7,900437*7,900438*7,900439*7,900440*7,900441*7,900442*7,900443*7,900444*7,900445*7,900446*7,900447*7,900448*7,900449*7,900450*7,900451*7,900452*7,900453*7,900454*7,900455*7,900456*7,900457*7,900458*7,900459*7,900460*7,900461*7,900462*7,900463*7,900464*7,900465*7",
18,"900171*12,900172*12,900173*12,900174*12,900175*12,900176*12,900177*12,900178*12,900179*12,900180*12,900181*12,900182*12,900183*12,900184*12,900185*12,900186*12,900187*12,900188*12,900189*12,900190*12,900191*12,900192*12,900193*12,900194*12,900195*12,900196*12,900197*12,900198*12,900199*12,900200*12,900201*12,900202*12,900203*12,900204*12,900205*12,900206*12,900207*12,900208*12,900209*12,900210*12,900211*12,900212*12,900213*12,900214*12,900215*12,900216*12,900217*12,900218*12,900219*12,900220*12,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900436*7,900437*7,900438*7,900439*7,900440*7,900441*7,900442*7,900443*7,900444*7,900445*7,900446*7,900447*7,900448*7,900449*7,900450*7,900451*7,900452*7,900453*7,900454*7,900455*7,900456*7,900457*7,900458*7,900459*7,900460*7,900461*7,900462*7,900463*7,900464*7,900465*7",
19,"900171*12,900172*12,900173*12,900174*12,900175*12,900176*12,900177*12,900178*12,900179*12,900180*12,900181*12,900182*12,900183*12,900184*12,900185*12,900186*12,900187*12,900188*12,900189*12,900190*12,900191*12,900192*12,900193*12,900194*12,900195*12,900196*12,900197*12,900198*12,900199*12,900200*12,900201*12,900202*12,900203*12,900204*12,900205*12,900206*12,900207*12,900208*12,900209*12,900210*12,900211*12,900212*12,900213*12,900214*12,900215*12,900216*12,900217*12,900218*12,900219*12,900220*12,900361*5,900362*5,900363*5,900364*5,900365*5,900366*5,900367*5,900368*5,900369*5,900370*5,900436*7,900437*7,900438*7,900439*7,900440*7,900441*7,900442*7,900443*7,900444*7,900445*7,900446*7,900447*7,900448*7,900449*7,900450*7,900451*7,900452*7,900453*7,900454*7,900455*7,900456*7,900457*7,900458*7,900459*7,900460*7,900461*7,900462*7,900463*7,900464*7,900465*7",
