$id,name,property:CHR,property:INT,property:STR,property:MNY,talent[],talent[],talent[]
ID,出生构型（中文优先）,表达魅力（PRS）/嘴甜度,推理力（RSN）/聪明劲,工具+稳定（TOL+ROB）/手脚快+命硬,算力预算（CMP）/预算命,天赋ID,天赋ID,天赋ID
3001,Stanford 小模型,2,6,3,7,1021,1001,1042
3002,黑客松流星,7,4,5,3,1018,1002,1008
3003,SaaS 按钮成精,6,5,4,5,1024,1022,1054
3004,GitHub 野孩子,4,5,6,2,1019,1041,1047
3005,浏览器插件长手怪,5,5,7,4,1023,1033,1005
3006,Prompt 妖怪,7,4,3,4,1010,1050,1028
3007,DeepSeek 小鲸鱼,3,8,5,4,1013,1035,1044
3008,稳稳接住你小熊,8,4,3,5,1011,1032,1039
3009,端侧小精灵,5,5,7,3,1020,1051,1034
3010,PRD 圣婴,6,5,4,6,1022,1054,1059
3011,Vibe Coding 之子,6,4,7,4,1014,1048,1005
3012,法务封印兽幼崽,2,5,6,5,1017,1040,1056
3013,中文语料小妖怪,7,5,4,4,1061,1062,1069
3014,PRD 读心器,6,6,4,5,1064,1070,1071
3015,材料馆里出生的 Agent,4,7,5,6,1063,1068,1072
3016,稳稳接住但不乱舔,8,6,4,4,1065,1066,1062
