优先级,扩展项,为什么值得做,落地方式,风险/注意
P0,参数中文优先展示,用户不应该看到一堆 CHR/INT/STR 才懂玩法,保留引擎 key，在 docs 和 UI label patch 里做中文名,别改底层字段，先不破坏转换器
P0,事件密度扩到 600 条,人生重开类游戏靠事件密度和意外感续命,每条路线先补 30-50 条，按生命周期分配进 age.xlsx,避免同梗重复，春晚感会很重
P0,结局截图卡,传播主要靠结局句子和属性总结,先写更多 SUMMARY 成就，后面再做 UI 卡片,别让结局太长，三行以内最好
P1,隐藏印象值实体化,用户上头值、法务紧张值、社区玩梗值很有戏,第二版改引擎或用成就条件模拟,改引擎会增加成本，不要第一版就做
P1,出生地路线锁定,不同出生构型应该更容易进入对应路线,character.xlsx 绑定天赋，age.xlsx 增加专属事件池,官方引擎条件表达要确认支持范围
P1,AI 轻量润色器,先别做全 AI；只做事件润色/结局点评/梗感检查,后端 API + prompt，让 AI 生成候选，不直接写库,API key 必须放服务端，不进浏览器
P1,材料喂养模式,让写作者/Agent 根据材料持续产出新事件,REFERENCE_MATERIALS + WRITING_PROMPT_FOR_CORPUS_AGENT,别让材料变成照搬，必须转写
P2,中英文双语切换,英文梗和中文梗不是互译，适合两套语料,中文为主，英文以后单独本地化,不要从中文直译英文，会损失笑点
P2,开发者模式,显示事件 ID、条件、效果，方便调试,新增 debug UI 或导出 CSV,公开版默认隐藏，避免破坏沉浸感
P2,玩家自定义 Agent,让玩家输入出生地/产品/模型名,轻量 AI 或模板拼接生成出生事件,需要过滤恶意/敏感输入
