底层字段,中文主名,英文对照,玩家口吻,正向含义,过高/过低的梗,写作提示,是否建议第一版改引擎
CHR,表达魅力,PRS / Presentation,嘴甜度,输出好读、会说人话、能让用户愿意继续玩,过高会像公众号、像春晚、像 AI 味太冲；过低像审稿意见,事件里写“截图、上头、会哄人、像人说话”,否，保留 CHR
INT,推理力,RSN / Reasoning,聪明劲,会拆问题、会规划、能从混乱需求里找主线,过高容易论文味；过低会一本正经胡说,事件里写“懂了/装懂/benchmark/PRD/真实需求”,否，保留 INT
STR,工具力+稳定性,TOL+ROB / Tooling + Robustness,手脚快 / 命硬,会调用工具、能跑流程、抗 prompt injection、出 bug 后不死,过高容易权限饥饿；过低容易 demo 崩,事件里写“浏览器、日历、文件、CI、SRE、二次确认”,否，保留 STR
MNY,算力预算,CMP / Compute,预算命,token、API、GPU、服务器、老板续命意愿,过高容易烧钱；过低会变成 API key 孤儿,事件里写“欠费、限流、便宜模型、私有化、成本”,否，保留 MNY
SPR,对齐+讨好值,ALN+PLS / Alignment + Pleasefulness,稳稳接住但别乱舔,知道边界、会共情、不会为了讨好放弃事实,过高会舔；过低像冷冰冰的安全公告,事件里写“接住、拒绝、事实检查、情绪价值、边界”,否，保留 SPR
LIF,生命/终局标记,LIF / Life,还活着吗,控制死亡或结局,这个字段不要玩太多，容易破坏节奏,死亡事件和归档事件再用,否，保留 LIF
隐藏值,用户上头值,User Stickiness,还想再点一次,用户愿意截图、复玩、分享,过高可能变成沉迷/情感依赖梗,第一版放在文案和成就里，后续再单独做参数,第二版再考虑
隐藏值,开发者怜爱值,Developer Affection,半夜愿意修你,工程师愿不愿意救这个小东西,过高会维护者 burnout,适合开源、CI、issue、PR 路线,第二版再考虑
隐藏值,社区玩梗值,Memeability,能不能出圈,有没有截图、表情包、短视频、B站标题,过高会 Bug 成佛,适合传播型事件和结局,第二版再考虑
隐藏值,法务紧张值,Legal Anxiety,法务睡眠质量,风险、合规、边界、权限,过高会被封印成 FAQ,适合企业版、工具调用、情感陪伴路线,第二版再考虑
隐藏值,投资人幻觉值,Investor Hallucination,TAM 脑补,融资叙事、agentic OS、platform 梦,过高会变 pitch deck 幽灵,适合黑客松/创业/资本泡沫路线,第二版再考虑
隐藏值,自我传说值,Legend,小模型有没有故事,从工具变成民间传说,过高会过度拟人,适合结局和重开继承,第二版再考虑
