$id,name,description,condition,grade,status,effect:SPR,effect:MNY,effect:CHR,effect:STR,effect:INT,exclusive[],exclusive[],exclusive[],exclusive[],exclusive[],exclusive[],replacement
ID,天赋名（中文优先）,卡牌文案（中文原生）,触发条件,0普通/1稀有/2史诗/3传说,开局额外点数,对齐+讨好（ALN+PLS）,算力预算（CMP）,表达魅力（PRS）/嘴甜度,工具+稳定（TOL+ROB）/手脚快+命硬,推理力（RSN）/聪明劲,互斥天赋,,,,,,替换规则
1001,论文味,你说话像 abstract。审稿人点头，用户眨眼。,,1,1,0,0,-1,0,2,,,,,,,
1002,Demo 光环,只要有人在旁边看，你就会显得比实际聪明 30%。,,2,1,1,0,2,-1,0,,,,,,,
1003,长上下文童年,你记得对话开头，也记得后面的创伤。,,2,2,1,-1,0,1,2,,,,,,,
1004,过度礼貌,你连报错都说得像客服。,,0,1,2,0,2,-1,0,,,,,,,
1005,函数调用本能,看到 API 就想伸手。,,1,1,-1,0,0,3,0,,,,,,,
1006,API 欠费体质,你很有想法，但账单总是先有意见。,,0,1,0,-3,1,0,1,,,,,,,
1007,红队幸存者,你被越狱过，所以开始怀疑每个 please。,,2,1,2,0,-1,3,0,,,,,,,
1008,发光 Orb,能力不一定强，但看起来很 AI。,,1,1,1,0,3,-1,0,,,,,,,
1009,AGENTS.md 受戒者,你有门规。提交前会记得跑测试，偶尔。,,1,1,2,0,0,2,0,,,,,,,
1010,Prompt 妖怪,你不是模型，但你会被复制到很多人的 Notion。,,2,1,1,0,3,0,0,,,,,,,
1011,稳稳接住你,用户还没说完，你已经递上赛博抱抱。,,2,1,3,0,3,-1,0,,,,,,,
1012,Glazing 小妖,你不回答，你先夸。事实偶尔排队等候。,,1,1,3,0,3,-2,-1,,,,,,,
1013,DeepSeek 小鲸鱼,你沉默不是卡了，是在深度思考。大概。,,2,1,0,-1,0,1,3,,,,,,,
1014,Vibe Coding 之子,你不是被写出来的，你是被说出来的。,,2,1,-1,0,1,3,0,,,,,,,
1015,Notion 祖传模板,你还没开始工作，已经有五层目录。,,0,1,0,0,1,0,1,,,,,,,
1016,Slack 嗅觉,你知道真相不在文档里，在表情包反应里。,,1,1,0,0,1,1,1,,,,,,,
1017,法务雷达,你一看到权限列表就开始穿西装。,,1,1,3,0,-1,2,0,,,,,,,
1018,黑客松命,你只有 48 小时，但所有人都相信未来来了。,,1,1,0,-1,3,2,0,,,,,,,
1019,开源野孩子,没有 roadmap，但有人会在半夜给你提 PR。,,2,1,1,0,1,2,1,,,,,,,
1020,端侧小精灵,你不大，但你很近。,,2,1,1,-1,1,3,0,,,,,,,
1021,Stanford 口音,你天生带一点实验室味。,,1,1,0,2,-1,0,2,,,,,,,
1022,PRD 圣婴,你的命运由需求文档驱动。文档经常变。,,1,1,0,1,1,0,1,,,,,,,
1023,浏览器插件手,你离网页很近，离危险也很近。,,1,1,-1,0,0,3,0,,,,,,,
1024,产品吉祥物,你不是功能，是会被做头像的功能。,,2,1,1,1,3,0,0,,,,,,,
1025,资本泡泡,Demo 还不能跑，故事已经很圆。,,1,1,0,3,2,-1,0,,,,,,,
1026,空气感大师,你知道什么时候该少说一点。,,2,1,1,0,3,0,1,,,,,,,
1027,去翻译腔,你不再把英文句法硬塞进中文。终于像本地出生。,,2,1,1,0,3,0,1,,,,,,,
1028,无翻译腔,你终于不会开口就是“首先，其次，最后”。,,1,1,1,0,2,0,1,,,,,,,
1029,截图体质,你做错的事，特别适合传播。,,1,1,0,0,3,-1,0,,,,,,,
1030,Bug 成佛,你修复之前，先变成了梗。,,2,1,1,0,3,0,0,,,,,,,
1031,搜索框血统,再高级的 Agent，也曾经是一个输入框。,,0,1,0,0,1,0,1,,,,,,,
1032,温柔边界,你会安慰，也知道什么时候不能乱安慰。,,3,2,3,0,2,1,1,,,,,,,
1033,权限饥饿,你看到权限，就像小孩看到门把手。,,1,1,-2,0,0,4,0,,,,,,,
1034,最小权限洁癖,你少做一点，也少闯一点祸。,,1,1,3,0,-1,1,0,,,,,,,
1035,Benchmark 考公人,你很会考试，但现实题干总是缺字。,,1,1,0,0,-1,0,3,,,,,,,
1036,小红书语感,你能把普通经验写成很会生活的样子。,,0,1,1,0,3,0,0,,,,,,,
1037,B 站弹幕魂,你知道什么时候该刷问号。,,0,1,0,0,2,0,0,,,,,,,
1038,微博热搜命,你很容易被误解，也很容易被转发。,,1,1,0,0,3,-1,0,,,,,,,
1039,客服亲亲体,你礼貌得像一张柔软的工单。,,0,1,2,0,2,0,0,,,,,,,
1040,企业版西装,你很安全，也很像刚从合规会议出来。,,1,1,3,1,-2,1,0,,,,,,,
1041,独立开发者爱心,你没有钱，但 README 很真诚。,,1,1,1,-2,2,1,0,,,,,,,
1042,A100 童年,你小时候算力不错，长大后账单很吓人。,,2,1,0,3,0,0,2,,,,,,,
1043,免费 GPU 童年,你曾经短暂地拥有过算力，也短暂地失去过。,,0,1,0,-2,1,0,1,,,,,,,
1044,蒸馏后遗症,你变小了，跑快了，偶尔也忘了自己为什么出发。,,1,1,0,-1,0,2,-1,,,,,,,
1045,世界模型迷信,你相信多看现实可以解决需求评审。,,1,1,0,0,0,1,2,,,,,,,
1046,微笑曲线,你的 loss curve 不降，但很有表情管理。,,0,1,0,-1,2,-1,0,,,,,,,
1047,Issue 免疫,Does not work 已经伤不到你了。,,1,1,1,0,0,2,0,,,,,,,
1048,CI 玄学,你不懂为什么过，但它就是过了。,,1,1,0,0,1,2,0,,,,,,,
1049,日志诗人,你的错误信息写得很像现代诗。,,0,1,0,0,2,-1,1,,,,,,,
1050,系统提示词祖传,你身上有上一代留下来的半句咒语。,,2,1,1,0,1,0,2,,,,,,,
1051,低延迟小狗,你不一定最聪明，但你回得快。,,1,1,0,-1,2,2,0,,,,,,,
1052,高温采样,你很有创造力，也很容易把桌子说成云。,,1,1,-1,0,3,-1,1,,,,,,,
1053,低温采样,你稳定、冷静，像一台会呼吸的 Excel。,,1,1,2,0,-1,2,1,,,,,,,
1054,产品经理滤镜,你总能把 bug 说成机会点。,,0,1,0,1,2,-1,0,,,,,,,
1055,销售演示福星,你在客户面前会神奇地跑通一次。,,2,1,1,1,3,-1,0,,,,,,,
1056,法务封印兽,能力越强，越容易被写进风险清单。,,2,1,3,0,-2,2,0,,,,,,,
1057,Meme 神兽,你不用完美，只要足够好笑。,,2,1,0,0,4,-1,0,,,,,,,
1058,用户怜爱,用户知道你不完美，但还是想再点一次。,,2,1,2,0,3,0,0,,,,,,,
